,CarParkID,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,lat,lng
420,J37,BLK 537/542 JURONG WEST AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.351295962,103.7158018
421,J38,BLK 505/508 JURONG WEST STREET 52,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.349118094,103.7185855
422,J39,BLK 456-461 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.350157499,103.7213475
423,J40,BLK 462-467 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.350029732,103.7228784
424,J41,BLK 468-473 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.348289456,103.7220323
425,J43,BLK 474-477 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.347924854,103.7252685
426,J44,BLK 478-483 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.346847611,103.7246365
427,J45,BLK 484-491 JURONG WEST AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.348985181,103.7267854
428,J46,BLK 501/504 JURONG WEST STREET 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.349754137,103.7190584
429,J47,BLK 502/503 JURONG WEST AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.350257476,103.7180208
430,J48,BLK 441/455 JURONG WEST AVE 1/ST 42,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.352172767,103.7184799
431,J49,BLK 552/559 JURONG WEST STREET 42,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.353455799,103.7189495
432,J50,BLK 401/408 JURONG WEST STREET 42,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.353707209,103.7225209
433,J51,BLK 409/416 JURONG WEST STREET 42,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.353556074,103.7246295
434,J52,BLK 423/440 JURONG WEST AVE 1/ST 42,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.351436402,103.7245942
435,J53,BLK 417/422 JURONG WEST STREET 42,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.35074095,103.7267264
436,J54,BLK 492-496 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.349926571,103.7245099
437,J55,BLK 497-498 JURONG WEST STREET 41,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.348637315,103.7242909
438,J56,BLK 130 JURONG GATEWAY ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.334892647,103.7393111
439,J57,BLK 131/134 JURONG GATEWAY ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.333976117,103.7391199
440,J61,BLK 912/932 JURONG WEST STREET 92,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.34007678,103.6884249
441,J62,BLK 902/908 JURONG WEST STREET 91,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.340889782,103.6854076
442,J63,BLK 909/911 JURONG WEST STREET 91,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.341779263,103.6864428
443,J64,BLK 354 JURONG EAST AVE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.344473346,103.7318524
444,J65,BLK 933-953 JURONG WEST STREET 91,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.342770487,103.6892958
445,J66,BLK 959-961 JURONG WEST STREET 92,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.341298039,103.6911289
446,J67,BLK 962-966 JURONG WEST STREET 91,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.341643989,103.6927623
447,J69,BLK 974/980 JURONG WEST STREET 93,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.0,N,1.339687397,103.6936407
448,J70,BLK 835/838 JURONG WEST STREET 81,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.343687036,103.6935087
449,J71,BLK 812/826 JURONG WEST STREET 81,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.346227648,103.6941744
450,J72,BLK 743/751 JURONG WEST STREET 73,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.347267285,103.6977338
451,J73,BLK 719/731 JURONG WEST STREET 72,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.343995386,103.6982221
452,J74,BLK 711/718 JURONG WEST STREET 71,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.342664584,103.6961123
453,J90,BLK 274A TOH GUAN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.341534087,103.7474295
454,J91,BLK 287E JURONG EAST STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.337468214,103.7440956
455,J92,BLK 285E TOH GUAN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.337492089,103.7468549
456,J93,BLK 286E TOH GUAN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.339192631,103.7450897
457,J94,BLK 288F JURONG EAST STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.339672342,103.7431969
458,J95,BLK 282A TOH GUAN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.340074019,103.7470869
459,J96,BLK 267A TOH GUAN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.341478738,103.7448916
460,J97,BLK 273A TOH GUAN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.342389295,103.7459395
461,JB1,"BLK 3-5,7,8,4A JALAN BATU",SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.302401825,103.8827866
462,JB2,BLK 10-11 JALAN BATU,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.301627607,103.8829967
463,JB3,"BLK 6,12,14 KAMPONG ARANG ROAD",SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.30052504,103.8842884
464,JB4,"BLK 1,2,9 KAMPONG KAYU",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.303483221,103.8831688
467,JBM,BLK 134A JALAN BUKIT MERAH,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.27919666,103.8271259
468,JCM,BLK 2 JOO CHIAT RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,1.9,N,1.315252951,103.898856
470,JKM,BLK 8A JALAN KUKOH MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3,1.98,N,1.287187976,103.8390028
473,JKS,BLK 1 JALAN KUKOH CAR PARK,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.288164623,103.8396404
475,JM1,BLK 517B JURONG WEST STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.345070539,103.7206504
476,JM2,BLK 682 JURONG WEST CENTRAL 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.34393554,103.7049636
477,JM3,BLK 679 JURONG WEST CENTRAL 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.344589047,103.7060668
478,JM4,BLK 684 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.344441894,103.7039127
479,JM5,BLK 664 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.339485124,103.7031426
480,JM6,BLK 663 JURONG WEST ST 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.339213857,103.701765
481,JM7,BLK 669 JURONG WEST ST 64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.1,N,1.342485928,103.7030065
482,JM8,BLK 667 JURONG WEST ST 65,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.1,N,1.341344251,103.7015026
483,JM9,BLK 650 JURONG WEST ST 61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.338659212,103.6968179
484,JRM,BLK 814 JELLICOE ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.30716702,103.8618542
485,K10,"BLK 28,30,32,34,36 CASSIA CRESCENT",SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.309415365,103.8844165
486,K19,BLK 62 DAKOTA CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.307862293,103.8893036
488,K2T,BLK 21 JALAN EMPAT,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.307538013,103.8835436
490,K52,BLK 52 CASSIA CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.310554774,103.8844833
491,KAM,BLK 335 KRETA AYER MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,1.9,N,1.281925921,103.8432686
492,KAS,BLK 333 KRETA AYER CAR PARK,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.28057211,103.8427729
493,KB1,BLK 54/56/58 GEYLANG BAHRU ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.323573604,103.8689003
495,KB3,BLK 64/65/67 KALLANG BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.320828035,103.8696551
496,KB4,BLK 72/93/97 GEYLANG BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.323129961,103.870683
497,KB7,BLK 69 GEYLANG BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.321585781,103.8704784
498,KBM,BLK 65A KALLANG BAHRU,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.320239288,103.8691246
499,KE1,BLK 101/121 BEDOK RESERVOIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.32975278,103.9089061
500,KE2,BLK 122/126 BEDOK RESERVOIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.332528724,103.9105553
501,KE3,"BLK 127/135, 141/151 BEDOK RESERVOIR ROAD",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.333909323,103.9119596
502,KE4,BLK 136/140 BEDOK RESERVOIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.3336671,103.9132461
503,KJ1,BLK 9/10 GLOUCESTER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.313633834,103.8520412
504,KJ2,BLK 49/50 DORSET ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.313250655,103.8506799
505,KJ3,BLK 48/48A DURHAM ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.314426616,103.8499306
506,KJ4,BLK 51/54 KENT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.316586908,103.8514702
507,KLM,BLK 31 KELANTAN LANE MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,1.8,N,1.306163378,103.8568336
508,KM1,BLK 56A CASSIA CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.0,N,1.310112141,103.8839461
511,KM2,BLK 93A JALAN DUA,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.0,N,1.30877082,103.8877371
514,KM3,BLK 11A PINE CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.308503978,103.8829465
515,KM4,BLK 49A JALAN TIGA,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,1.308492553,103.8853628
517,KTM,BLK 125A KIM TIAN ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,10,1.9,N,1.283069383,103.828651
519,KU1,BLK 301/305-306/311-318 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.329495355,103.9030838
520,KU2,BLK 319-330 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.32767355,103.9043452
521,KU3,BLK 331-341 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.326421438,103.9024516
522,KU4,BLK 342-352 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.325554722,103.9000514
523,KU9,"BLK 302,304 UBI AVENUE 1",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.329908127,103.9010898
526,LBM,BLK 64 LENGKOK BAHRU,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.289296904,103.8152284
527,LT1,"BLK 110,113-116 LENGKONG TIGA",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.323036536,103.9115756
528,LT2,BLK 111-112 LENGKONG TIGA,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.323908174,103.9108737
529,LT3,BLK 101-109 LENGKONG TIGA,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.325035931,103.9104926
530,M16,BLK 37 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.328431167,103.8866723
531,M20,BLK 65 & 80 CIRCUIT RD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.327590453,103.8872656
532,M25,BLK 53 TO 56/68/70/71/72 PIPIT RD/CIRCUIT RD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.324225444,103.8881777
533,M32,BLK 120 TO 124 PAYA LEBAR WAY,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.322312871,103.882793
534,M33,BLK 125 TO 126 ALJUNIED ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.323245792,103.8821727
535,M35,BLK 41 TO 42 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.327281852,103.885915
536,M36,BLK 43 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.326703518,103.885456
537,M37,BLK 38 TO 40 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.327677409,103.8856051
538,M38,BLK 63 TO 64 CIRCUIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.327153049,103.8874767
539,MLM,BLK 157A MEI LING STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.293365005,103.8034545
542,MM1,BLK 28A BALAM ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.0,N,1.3304551,103.8870636
543,MM2,BLK 52A PIPIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.324339688,103.8860942
544,MM3,BLK 66A CIRCUIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.326266278,103.8880186
545,MM4,BLK 31A CIRCUIT ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.329329657,103.8854866
546,MN1,BLKS 108/112 MCNAIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.5,N,1.322029474,103.8592002
547,MN2,BLKS 119/124 MCNAIR ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.318049689,103.8563684
548,MNM,BLK 113 MCNAIR ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.321042155,103.8598354
550,MP1,BLK 1 TO 4 MARINE TERRACE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.30481836,103.9175222
551,MP2,BLK 5 TO 8 MARINE TERRACE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.304224614,103.9166577
553,MP5,BLK 52/57 MARINE TERRACE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.306109647,103.9161652
557,MP6,BLK 50/50A/53 MARINE TERRACE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.30549658,103.9163814
560,MP7,BLK 54/55/56/58/59 MARINE TERRACE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.305581278,103.9146888
561,MR4,BLK 7 KING GEORGE AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.307914043,103.8599731
562,MR5,"BLK 804/805, 809 MAUDE ROAD",SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.5,N,1.308135251,103.8607918
563,MR6,BLK 8 FRENCH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.307167406,103.8605365
564,MR7,BLK 801/802 FRENCH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.4,N,1.307512039,103.8603528
565,P11,BLK 416 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.321204214,103.7483559
566,P12,BLK 415 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.320567395,103.7481941
567,P13,BLK 401/402 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.32069016,103.7504078
568,P14,BLK 403/408 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.319353618,103.7491754
569,P15,BLK 413 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.319834823,103.7481482
570,P16,BLK 412/414 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.319882381,103.7471648
571,P17,BLK 409/411 PANDAN GARDENS,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.318821467,103.747384
572,PM2,BLK 220A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.370073066,103.9610129
574,PM3,BLK 225A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,1.9,N,1.37180035,103.960933
575,PM4,BLK 231A PASIR RIS DRIVE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.374105919,103.9614427
576,PM5,BLK 235A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.373770353,103.962608
577,PM6,BLK 245A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.370802196,103.9633947
580,PM7,BLK 257A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,1.9,N,1.367557638,103.9632499
582,PM8,BLK 458A PASIR RIS DRIVE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.37163599,103.9602559
583,PM9,BLK 216A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.0,N,1.368291967,103.9612161
584,PP1,BLK 101 TO 109 POTONG PASIR AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.334004902,103.869214
585,PP2,BLK 143 TO 145 POTONG PASIR AVENUES 2/3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.332680145,103.8660545
586,PP3,BLK 134 TO 142 POTONG PASIR AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.333601983,103.8658445
587,PP4,BLK 121 TO 133 POTONG PASIR AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.334732912,103.8661192
588,PP5,BLK 113 TO 120 POTONG PASIR AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.336313102,103.8632229
